Time,Setpoint Zone-1,Return Zone-1,Discharge Zone-1,Coil Zone-1,Op Mode Zone-1,Ambient,Spare-1,Setpoint Zone-2,Return Zone-2,Discharge Zone-2,Coil Zone-2,Spare-2,Op Mode Zone-2,Spare-3,Unit Operating Mode,
6/16/2011 06:28,	-1,	3.8,	14.2,	13,	Defrost,	16.3,	-----,	1,	9.2,	9.1,	10.5,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 06:29,	Zone-1 Op Mode:  Defrost
6/16/2011 06:29,	Defrost State Exited Zone 1
6/16/2011 06:30,	Zone-1 Op Mode:  Cool
6/16/2011 06:30,	-1,	4.5,	17.1,	15.2,	Cool,	16.3,	-----,	1,	9.2,	9.1,	10.5,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 06:35,	-1,	1.5,	-4.5,	-4.6,	Cool,	16.7,	-----,	1,	9.3,	9.2,	10.6,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 06:40,	-1,	-0.1,	-7,	-7.6,	Cool,	16.8,	-----,	1,	9.4,	9.3,	10.7,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 06:43,	Zone-1 Op Mode:  Heat
6/16/2011 06:45,	-1,	-0.8,	-1.6,	-1.6,	Heat,	17.3,	-----,	1,	9.5,	9.3,	10.8,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 06:46,	Zone-1 Op Mode:  Cool
6/16/2011 06:50,	-1,	0.1,	-6.2,	-7.5,	Cool,	17.5,	-----,	1,	9.6,	9.4,	10.9,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 06:54,	Zone-1 Op Mode:  Heat
6/16/2011 06:55,	-1,	-1,	-3.8,	-3.7,	Heat,	17.3,	-----,	1,	9.6,	9.6,	11,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 06:56,	Zone-1 Op Mode:  Cool
6/16/2011 07:00,	-1,	0.1,	-6,	-7.3,	Cool,	17.5,	-----,	1,	9.7,	9.6,	11,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 07:03,	Zone-1 Op Mode:  Heat
6/16/2011 07:05,	-1,	-0.8,	-1.2,	-1.3,	Heat,	17.6,	-----,	1,	9.8,	9.7,	11.1,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 07:06,	Zone-1 Op Mode:  Cool
6/16/2011 07:10,	-1,	0.1,	-5.3,	-6.2,	Cool,	22.4,	-----,	1,	9.9,	9.8,	11.2,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 07:15,	-1,	-0.4,	-6.2,	-6.9,	Cool,	22.6,	-----,	1,	10.1,	9.9,	11.3,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 07:17,	Zone-1 Op Mode:  Heat
6/16/2011 07:20,	-1,	-0.2,	1.3,	0.3,	Heat,	20.9,	-----,	1,	9.7,	9.5,	11.1,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 07:20,	Zone-1 Op Mode:  Cool
6/16/2011 07:24,	Zone-1 Op Mode:  Heat
6/16/2011 07:25,	-1,	-1.1,	-8.7,	-10.1,	Heat,	19.7,	-----,	1,	9,	9.4,	10.8,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 07:29,	Zone-1 Op Mode:  Cool
6/16/2011 07:30,	-1,	0.2,	-1.3,	-1.6,	Cool,	16.5,	-----,	1,	8.3,	9.1,	10.4,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 07:32,	Zone-1 Op Mode:  Heat
6/16/2011 07:35,	-1,	-0.8,	0.2,	-0.4,	Heat,	16.7,	-----,	1,	7.7,	8.7,	10,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 07:37,	Zone-1 Op Mode:  Cool
6/16/2011 07:40,	-1,	-0.4,	-6.6,	-8.3,	Cool,	17.5,	-----,	1,	7.1,	8.3,	9.6,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 07:40,	Zone-1 Op Mode:  Heat
6/16/2011 07:45,	-1,	-0.1,	1.6,	0.4,	Heat,	17.3,	-----,	1,	6.6,	7.9,	9.3,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 07:45,	Zone-1 Op Mode:  Cool
6/16/2011 07:49,	Zone-1 Op Mode:  Heat
6/16/2011 07:50,	-1,	-1.4,	-5.1,	-5.8,	Heat,	19.6,	-----,	1,	6.1,	7.7,	9,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 07:54,	Zone-1 Op Mode:  Cool
6/16/2011 07:55,	-1,	0.2,	-1.1,	-1.1,	Cool,	17.5,	-----,	1,	5.8,	7.4,	8.7,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 07:57,	Zone-1 Op Mode:  Heat
