Device : ServiceWatch
Truck/Trailer ID: ee700187
Serial Number: A06935012373T1
Unit Serial Number: 0000006001127950
Software Version: D030
Temperature: °C
Pressure: Bar

Time,Setpoint,Return Control,Discharge Control,Coil,Ambient,Spare-1,Op Mode,Fuel Level,
4/19/2013 07:48,	-20.6,	-18.9,	-21.2,	-22.6,	8.5,	-----,"Diesel, Cycle-Sentry, Null",	25
4/19/2013 07:53,	-20.6,	-17.8,	-19.3,	-21.2,	7.9,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 07:54,	-20.6,	-17.5,	-19.3,	-20.6,	7.5,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 08:02,	-20.6,	-20.6,	-28.1,	-26.2,	10.9,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 08:17,	-20.6,	-18.8,	-21,	-22.2,	8.5,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 08:22,	-20.6,	-17.8,	-19.2,	-21.1,	7.2,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 08:23,	-20.6,	-17.5,	-19.3,	-20.6,	6.9,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 08:31,	-20.6,	-20.6,	-28.1,	-26.6,	8.2,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 08:46,	-20.6,	-18.9,	-21.1,	-22.7,	9.2,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 08:52,	-20.6,	-17.8,	-19.2,	-21.4,	7.8,	-----,"Start, Diesel, Cycle-Sentry",	25
4/19/2013 08:53,	-20.6,	-17.5,	-19.3,	-20.9,	7.5,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 09:01,	-20.6,	-20.6,	-28,	-26.4,	9.5,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 09:16,	-20.6,	-18.7,	-21.1,	-22.3,	7.9,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 09:20,	-20.6,	-17.8,	-19.4,	-21.2,	7.6,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 09:21,	-20.6,	-17.5,	-19.4,	-20.7,	7.3,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 09:29,	-20.6,	-20.6,	-27.9,	-26,	10.4,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 09:44,	-20.6,	-18.3,	-21.1,	-21.9,	11.6,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 09:47,	-20.6,	-17.8,	-20.1,	-21.2,	10.4,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 09:48,	-20.6,	-17.5,	-19.9,	-20.6,	9.5,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 09:56,	-20.6,	-20.6,	-27.8,	-26.1,	8.8,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 10:11,	-20.6,	-18.5,	-20.9,	-22.4,	10.5,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 10:15,	-20.6,	-17.8,	-19.5,	-21.5,	10.8,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 10:16,	-20.6,	-17.5,	-19.5,	-20.9,	10.9,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 10:24,	-20.6,	-20.6,	-27.8,	-25.8,	12.3,	-----,"Diesel, Cycle-Sentry, Null",	45
4/19/2013 10:39,	-20.6,	-18.3,	-21,	-22.2,	10.1,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 10:46,	-20.6,	-17.8,	-18.6,	-20.5,	7.8,	-----,"Start, Diesel, Cycle-Sentry",	100
4/19/2013 10:47,	-20.6,	-17.5,	-18.7,	-20,	7.3,	-----,"Diesel, Cycle-Sentry, Cool",	100
4/19/2013 10:56,	-20.6,	-20.6,	-28.1,	-26.4,	6.7,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 11:11,	-20.6,	-18.7,	-21.2,	-22.8,	7.5,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 11:15,	-20.6,	-17.8,	-19.6,	-21.8,	6,	-----,"Start, Diesel, Cycle-Sentry",	100
4/19/2013 11:16,	-20.6,	-17.5,	-19.7,	-21.2,	5.8,	-----,"Diesel, Cycle-Sentry, Cool",	100
4/19/2013 11:24,	-20.6,	-20.6,	-28.1,	-26.4,	6.9,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 11:39,	-20.6,	-18.8,	-21.2,	-22.9,	6.9,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 11:44,	-20.6,	-17.8,	-19.4,	-21.8,	6.2,	-----,"Start, Diesel, Cycle-Sentry",	100
4/19/2013 11:45,	-20.6,	-17.5,	-19.5,	-21.2,	6,	-----,"Diesel, Cycle-Sentry, Cool",	100
4/19/2013 11:53,	-20.6,	-20.7,	-28.1,	-26.5,	7.1,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 12:00,	Clock Set
4/19/2013 12:00,	-20.6,	-20.1,	-24.9,	-25.2,	8.3,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 12:05,	-20.6,	-19.4,	-22.6,	-23.8,	7.6,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 12:05,	Current Id Low Word: 1H
4/19/2013 12:05,	Current Id High Word: 0H
4/19/2013 12:14,	-20.6,	-17.8,	-19.2,	-21.5,	5.8,	-----,"Start, Diesel, Cycle-Sentry",	100
4/19/2013 12:15,	-20.6,	-17.5,	-19.3,	-21,	5.8,	-----,"Diesel, Cycle-Sentry, Cool",	100
4/19/2013 12:23,	-20.6,	-20.6,	-28.1,	-26.3,	9.4,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 12:38,	-20.6,	-18.6,	-21.3,	-22.6,	7.6,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 12:43,	-20.6,	-17.8,	-19.5,	-21.5,	7.4,	-----,"Start, Diesel, Cycle-Sentry",	100
4/19/2013 12:44,	-20.6,	-17.5,	-19.6,	-21,	7.2,	-----,"Diesel, Cycle-Sentry, Cool",	100
4/19/2013 12:51,	-20.6,	-20.6,	-28,	-26.3,	9.2,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 13:06,	-20.6,	-18.6,	-21.4,	-22.4,	7.4,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 13:10,	-20.6,	-17.8,	-19.9,	-21.5,	7.4,	-----,"Start, Diesel, Cycle-Sentry",	100
4/19/2013 13:11,	-20.6,	-17.5,	-20,	-21,	7.3,	-----,"Diesel, Cycle-Sentry, Cool",	100
4/19/2013 13:18,	-20.6,	-20.6,	-28.1,	-26.5,	9,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 13:33,	-20.6,	-18.5,	-21.4,	-22.4,	7.1,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 13:37,	-20.6,	-17.8,	-20.1,	-21.6,	7.1,	-----,"Start, Diesel, Cycle-Sentry",	100
4/19/2013 13:38,	-20.6,	-17.6,	-20.1,	-21.1,	7.5,	-----,"Diesel, Cycle-Sentry, Cool",	100
4/19/2013 13:45,	-20.6,	-20.6,	-28,	-26.4,	8,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 14:00,	-20.6,	-18.5,	-21.4,	-22.4,	7.6,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 14:03,	-20.6,	-17.8,	-20.1,	-21.6,	7.6,	-----,"Start, Diesel, Cycle-Sentry",	100
4/19/2013 14:04,	-20.6,	-17.6,	-20.1,	-21.1,	7.5,	-----,"Diesel, Cycle-Sentry, Cool",	100
4/19/2013 14:11,	-20.6,	-20.6,	-28,	-26.4,	8.3,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 14:26,	-20.6,	-18.4,	-21.5,	-22.3,	7.5,	-----,"Diesel, Cycle-Sentry, Null",	100
4/19/2013 14:30,	-20.6,	-17.8,	-20.3,	-21.6,	7.7,	-----,"Start, Diesel, Cycle-Sentry",	100
